300 240 6 0.7051075268817205 0.02142204958866043 0.5812097381713386 0.0435316780611967
600 240 6 0.5432795698924732 0.02363375672978543 0.4320888150193643 0.035756239358485334
900 240 6 0.431989247311828 0.021981457462900797 0.32899748598052236 0.03288193715141594
1200 240 6 0.35322580645161294 0.023870301744075624 0.2619591255696136 0.028909320487431736
1500 240 6 0.28575268817204297 0.02641120482078694 0.2108230839084823 0.027975226512655108
1800 240 6 0.2442204301075269 0.027530477965689377 0.1766924164219246 0.0251232619005875
2100 240 6 0.20833333333333334 0.02313858822903798 0.14998086891906412 0.022087183861150862
2400 240 6 0.17836021505376348 0.02270908810126527 0.12623481459758706 0.018753041430097633
3000 240 6 0.13750000000000004 0.023947373603569987 0.09531936753072595 0.017219295347275305
3600 240 6 0.10913978494623656 0.018343696815445298 0.07276944965493401 0.014336516357164349
4200 240 6 0.08803763440860214 0.015544980962151574 0.05873485227048931 0.012011523960540716
4500 240 6 0.0821236559139785 0.01762034746248805 0.05532038400425278 0.013304408775213558
