14.7 630 2,0.6964157706093188 0.015128293928201114 0.5831774541351704 0.030103257763377488
29.4 336 2,0.5082565284178188 0.027263716633407084 0.4111244094379682 0.038388642953130166
14.7 420 2,0.6925499231950846 0.016314492224088175 0.5793940779623655 0.033906615488178214
44.1 504 7,0.23527905785970302 0.02139211849807093 0.16741962385387815 0.018587477078263952
44.1 168 6,0.14055299539170504 0.030639049011423124 0.09624440028199414 0.0227032423227019
29.4 210 7,0.247926267281106 0.027896154334013844 0.17929481652914073 0.028519337774464557
29.4 168 3,0.2905145929339477 0.0312207494162509 0.2249528432153845 0.03018751416279896
29.4 630 3,0.4600614439324118 0.02302724712930759 0.35701174325722995 0.025810100701811726
29.4 336 6,0.29560291858678955 0.027830854892679387 0.21719894774742368 0.02773060665556705
73.5 168 7,0.06701228878648233 0.015040826442063086 0.04300559407400583 0.011405327781467689
73.5 630 7,0.1470558115719406 0.018319184407271892 0.09890948393768985 0.014946067900853812
14.7 420 4,0.5627496159754226 0.016863533237005783 0.4457624507275042 0.0328186220478752
44.1 630 2,0.4790066564260113 0.02149988957876032 0.38293162116723367 0.028418489750769164
44.1 630 3,0.337173579109063 0.026532389950855554 0.2564780848110081 0.026002893226922702
44.1 336 6,0.19210829493087553 0.02417677959819716 0.1373757474394541 0.021053627637201047
73.5 630 2,0.35381464413722485 0.017612587619781156 0.27715671329756414 0.02052195037965292
73.5 336 8,0.10157450076804915 0.017382680660171203 0.0679027472346426 0.012767234339187215
29.4 210 5,0.2554531490015361 0.025872200640770872 0.18924741491778943 0.029428896113172492
44.1 210 7,0.15514592933947774 0.02121929532201691 0.1072342230437731 0.018386765181581027
14.7 168 7,0.38440860215053774 0.03123373666296304 0.29125631752826886 0.03609216869020969
14.7 420 6,0.5301843317972349 0.019730344172240656 0.41588293451784086 0.031143506855498944
14.7 168 2,0.5927419354838709 0.028113904013623108 0.48175067807814054 0.04896259111044806
73.5 210 8,0.07895545314900156 0.01688031565937469 0.051055968164013796 0.012597888119735978
73.5 630 3,0.20947260624679986 0.020440948452368435 0.15203047587332386 0.01942130384465865
14.7 420 7,0.5208141321044547 0.022384120293623178 0.40442024616104955 0.031036316501320903
44.1 420 2,0.4271121351766512 0.024481137612574446 0.34342458996714303 0.03127554807925864
73.5 504 7,0.12973630312339987 0.017837058593310706 0.08734618020322932 0.014354495503403846
44.1 420 4,0.24139784946236562 0.022762520312480664 0.17908693532619924 0.022692306133784035
29.4 504 6,0.3485023041474654 0.022354570248271945 0.2577002254017865 0.025103723433786636
44.1 504 8,0.23783922171018937 0.020245134059797876 0.16873474207640907 0.01868333678177004
14.7 168 6,0.39900153609831035 0.031441975645198565 0.3069319620469211 0.038556180993645876
14.7 210 6,0.4336405529953919 0.02669012255311552 0.3341943507565707 0.03603417458233407
44.1 210 2,0.3543778801843319 0.029148654422440353 0.2837786538893724 0.03704506640569982
14.7 504 7,0.5468509984639017 0.02026980525406551 0.42644874586914905 0.02929769896826499
44.1 168 5,0.15303379416282642 0.02718042295889048 0.10826048109404292 0.02526887178178112
14.7 630 8,0.5795698924731182 0.018680286017233674 0.45630931096382604 0.02802110996687975
29.4 210 6,0.24393241167434718 0.029172120620376624 0.17516015839509685 0.027217495912567384
44.1 168 3,0.21121351766513055 0.029155534402614904 0.15977344896950837 0.029517317823000506
73.5 210 2,0.2540706605222734 0.022023600267923542 0.19862149685438227 0.025224735260900306
29.4 210 2,0.45192012288786493 0.03380952031997726 0.3618831053172718 0.04221791765870127
44.1 504 3,0.30990783410138245 0.022450206579067926 0.23676588006252014 0.024502172739301376
73.5 210 7,0.07880184331797234 0.016038808435119532 0.051099057147148776 0.011651995286175727
73.5 168 4,0.09139784946236561 0.021517373765573833 0.06330104797756035 0.017013267177453963
14.7 504 8,0.5476830517153098 0.018458497291710323 0.42970021579081025 0.028835391399968918
73.5 336 4,0.12509600614439326 0.02420802117523546 0.08848361875951313 0.019373512491952655
44.1 504 6,0.23527905785970302 0.022621260668839235 0.1681864273370597 0.020563152642751804
